current_episode,episode reward,episode_end,epoch,epsilon,reward,step,total_reward,train_loss
1.0,0.0,0.0,0,0.9950000047683716,0.0,49,0.0,4.200911644147709e-05
1.0,0.0,0.0,0,0.9900000095367432,0.0,99,0.0,5.370908183977008e-06
2.0,0.0,0.0,0,0.9850000143051147,0.0,149,0.0,3.553329952410422e-05
4.0,0.0,0.0,0,0.9800000190734863,0.0,199,0.0,4.51658070232952e-06
6.0,0.0,0.0,0,0.9750000238418579,0.0,249,0.0,6.01404906319658e-07
8.0,0.0,0.0,0,0.9700000286102295,0.0,299,0.0,2.902994310716167e-06
8.0,0.0,0.0,0,0.9649999737739563,0.0,349,0.0,1.8814878785633482e-05
11.0,0.0,0.0,0,0.9599999785423279,0.0,399,0.0,3.975681465817615e-06
14.0,0.0,0.0,0,0.9549999833106995,0.0,449,0.0,3.3727217214618577e-06
15.0,0.0,0.0,0,0.949999988079071,0.0,499,0.0,3.902826392732095e-06
15.0,0.0,0.0,0,0.9449999928474426,0.0,549,0.0,1.217539761455555e-06
17.0,0.0,0.0,0,0.9399999976158142,0.0,599,0.0,1.5211107893264852e-06
19.0,0.0,0.0,0,0.9350000023841858,0.0,649,0.0,5.444946054922184e-06
22.0,0.0,0.0,0,0.9300000071525574,0.0,699,0.0,1.8517434909881558e-06
23.0,0.0,0.0,0,0.925000011920929,0.0,749,0.0,0.00012358685489743948
25.0,0.0,0.0,0,0.9200000166893005,0.0,799,0.0,1.6757046978455037e-05
25.0,0.0,0.0,0,0.9150000214576721,0.0,849,0.0,3.1817206036066636e-05
26.0,0.0,0.0,0,0.9100000262260437,0.0,899,0.0,2.9637047191499732e-05
27.0,0.0,0.0,0,0.9049999713897705,0.0,949,0.0,4.8166457418119535e-05
29.0,0.0,0.0,0,0.8999999761581421,0.0,999,0.0,1.6890171536942944e-05
31.0,0.0,0.0,0,0.8949999809265137,0.0,1049,0.0,2.4715112886042334e-05
35.0,0.0,0.0,0,0.8899999856948853,0.0,1099,0.0,2.5216304493369535e-05
36.0,0.0,0.0,0,0.8849999904632568,0.0,1149,0.0,7.524805550929159e-05
38.0,0.0,0.0,0,0.8799999952316284,0.0,1199,0.0,3.312702392577194e-05
40.0,0.0,0.0,0,0.875,0.0,1249,0.0,9.323806443717331e-05
40.0,0.0,0.0,0,0.8700000047683716,0.0,1299,0.0,0.0001248531334567815
41.0,0.0,0.0,0,0.8650000095367432,0.0,1349,0.0,0.0001387844095006585
43.0,0.0,0.0,0,0.8600000143051147,0.0,1399,0.0,8.884485578164458e-05
45.0,0.0,0.0,0,0.8550000190734863,0.0,1449,0.0,7.673738582525402e-05
47.0,0.0,0.0,0,0.8500000238418579,0.0,1499,0.0,9.861710714176297e-05
48.0,0.0,0.0,0,0.8450000286102295,0.0,1549,0.0,6.303379632299766e-05
51.0,0.0,0.0,0,0.8399999737739563,0.0,1599,0.0,6.7460976424627e-05
53.0,0.0,0.0,0,0.8349999785423279,0.0,1649,0.0,0.00013598197256214917
55.0,0.0,0.0,0,0.8299999833106995,0.0,1699,0.0,0.00012801832053810358
57.0,0.0,0.0,0,0.824999988079071,0.0,1749,0.0,0.00011900108802365139
59.0,0.0,0.0,0,0.8199999928474426,0.0,1799,0.0,0.0001985086710192263
60.0,0.0,0.0,0,0.8149999976158142,0.0,1849,0.0,0.00021164017380215228
61.0,0.0,0.0,0,0.8100000023841858,0.0,1899,0.0,3.668606950668618e-05
63.0,0.0,0.0,0,0.8050000071525574,0.0,1949,0.0,4.10503416787833e-05
66.0,0.0,0.0,0,0.800000011920929,0.0,1999,0.0,0.00014365342212840915
66.0,0.0,0.0,0,0.7950000166893005,0.0,2049,0.0,2.04448115255218e-05
69.0,0.0,1.0,0,0.7900000214576721,0.0,2099,0.0,0.0002641378086991608
71.0,0.0,0.0,0,0.7850000262260437,0.0,2149,0.0,2.4256722099380568e-05
73.0,0.0,0.0,0,0.7799999713897705,0.0,2199,0.0,0.00015867028560023755
75.0,0.0,0.0,0,0.7749999761581421,0.0,2249,0.0,1.2646579307329375e-05
76.0,0.0,0.0,0,0.7699999809265137,0.0,2299,0.0,5.3812775149708614e-05
78.0,0.0,0.0,0,0.7649999856948853,0.0,2349,0.0,8.484940917696804e-05
79.0,0.0,0.0,0,0.7599999904632568,0.0,2399,0.0,4.0380000427830964e-05
81.0,0.0,0.0,0,0.7549999952316284,0.0,2449,0.0,3.3107800845755264e-05
