current_episode,episode reward,episode_end,epoch,epsilon,reward,step,total_reward,train_loss
,0.0,0.0,0,0.9950000047683716,0.0,49,0.0,4.075256583746523e-05
3.0,0.0,0.0,0,0.9900000095367432,0.0,99,0.0,0.014294914901256561
4.0,0.0,0.0,0,0.9850000143051147,0.0,149,0.0,5.422515641839709e-06
5.0,0.0,0.0,0,0.9800000190734863,0.0,199,0.0,1.3280993016451248e-06
10.0,0.0,0.0,0,0.9750000238418579,0.0,249,0.0,9.718079354570364e-07
10.0,0.0,0.0,0,0.9700000286102295,0.0,299,0.0,7.464741429430433e-07
13.0,0.0,0.0,0,0.9649999737739563,0.0,349,0.0,1.8380122810413013e-06
16.0,0.0,0.0,0,0.9599999785423279,0.0,399,0.0,3.4258800951647572e-06
17.0,0.0,0.0,0,0.9549999833106995,0.0,449,0.0,2.0843997390329605e-06
19.0,0.0,1.0,0,0.949999988079071,0.0,499,0.0,4.7548604698022245e-07
21.0,0.0,0.0,0,0.9449999928474426,0.0,549,0.0,2.3529146346845664e-06
22.0,0.0,0.0,0,0.9399999976158142,0.0,599,0.0,1.3070955446892185e-06
24.0,0.0,0.0,0,0.9350000023841858,0.0,649,0.0,3.523132932059525e-07
25.0,0.0,0.0,0,0.9300000071525574,0.0,699,0.0,4.282272811906296e-07
27.0,0.0,0.0,0,0.925000011920929,0.0,749,0.0,4.5425474581861636e-07
29.0,0.0,0.0,0,0.9200000166893005,0.0,799,0.0,2.496583704214572e-07
30.0,0.0,0.0,0,0.9150000214576721,0.0,849,0.0,1.968034695210008e-07
32.0,0.0,1.0,0,0.9100000262260437,0.0,899,0.0,1.9757882796511694e-07
34.0,0.0,0.0,0,0.9049999713897705,0.0,949,0.0,1.3827738598592987e-07
35.0,0.0,0.0,0,0.8999999761581421,0.0,999,0.0,1.4465615549852373e-07
38.0,0.0,0.0,0,0.8949999809265137,0.0,1049,0.0,2.219791639390678e-07
40.0,0.0,0.0,0,0.8899999856948853,0.0,1099,0.0,1.8232574916510202e-07
43.0,0.0,0.0,0,0.8849999904632568,0.0,1149,0.0,6.442464837164152e-07
45.0,0.0,0.0,0,0.8799999952316284,0.0,1199,0.0,7.22632933047862e-07
47.0,0.0,0.0,0,0.875,0.0,1249,0.0,1.6679000509611797e-06
48.0,0.0,0.0,0,0.8700000047683716,0.0,1299,0.0,3.642680894699879e-06
51.0,0.0,0.0,0,0.8650000095367432,0.0,1349,0.0,8.503069466314628e-07
55.0,0.0,0.0,0,0.8600000143051147,0.0,1399,0.0,1.3839647863278515e-06
58.0,0.0,0.0,0,0.8550000190734863,0.0,1449,0.0,1.0233724196950789e-06
60.0,0.0,0.0,0,0.8500000238418579,0.0,1499,0.0,8.486961178277852e-07
61.0,0.0,0.0,0,0.8450000286102295,0.0,1549,0.0,1.0921135071839672e-06
64.0,0.0,0.0,0,0.8399999737739563,0.0,1599,0.0,1.2086959486623527e-06
68.0,0.0,1.0,0,0.8349999785423279,0.0,1649,0.0,5.263499929242244e-07
71.0,0.0,0.0,0,0.8299999833106995,0.0,1699,0.0,1.1577333225432085e-06
74.0,0.0,0.0,0,0.824999988079071,0.0,1749,0.0,1.2332068308751332e-06
75.0,0.0,0.0,0,0.8199999928474426,0.0,1799,0.0,3.997505473307683e-07
78.0,0.0,0.0,0,0.8149999976158142,0.0,1849,0.0,3.4621592703842907e-07
